,I1,I2a,I2b,R1a,R1b,G,J2,J1,E1b1b,T,Q,N
I1,0.9999999999999999,-0.2646391935187695,0.5683968565341607,0.149456251653071,-0.062238639659207236,-0.3020546909903973,-0.3885398890506725,-0.38083431756792635,-0.3826423672177074,-0.27674388212775336,0.15503542415415567,0.07191913901728102
I2a,-0.2646391935187695,1.0000000000000009,-0.23838836195712151,0.1355116160476041,-0.46225333958850007,-0.09215470348675622,0.0008808218042381693,0.007928073648134432,0.2110363202391395,-0.09009847057636018,-0.06202412846499088,-0.16376661612908483
I2b,0.5683968565341607,-0.23838836195712154,0.9999999999999994,-0.08281121932681842,0.25126407953532315,0.024391671344416985,-0.26556958365141187,-0.20724901477948543,-0.2433632325793646,-0.16466749783483453,0.035119017587687096,-0.2917216359725218
R1a,0.149456251653071,0.1355116160476041,-0.08281121932681842,0.999999999999999,-0.6311924350312826,-0.3759508937677216,-0.28537835504533055,-0.2618281770360463,-0.2664889630011255,-0.2320276383230445,-0.01872786732052699,0.3983341952599016
R1b,-0.06223863965920725,-0.46225333958850007,0.25126407953532315,-0.6311924350312826,1.0000000000000009,0.12796456313867033,-0.19618031465660515,-0.0822543713839487,-0.21948536347594017,-0.09010123793110167,-0.07547262949812078,-0.40418883381635967
G,-0.3020546909903972,-0.0921547034867562,0.024391671344416995,-0.37595089376772156,0.12796456313867033,1.0000000000000004,0.5510874192280313,0.5925478993856484,0.23631450522829928,0.5269952133811339,-0.14396710764069076,-0.38496693961530754
J2,-0.3885398890506724,0.0008808218042381549,-0.26556958365141187,-0.2853783550453305,-0.19618031465660518,0.5510874192280313,0.9999999999999991,0.715129584455388,0.6073270660750312,0.6404582086782938,-0.1095043338943712,-0.3010040479060815
J1,-0.3808343175679264,0.007928073648134455,-0.20724901477948543,-0.2618281770360462,-0.08225437138394869,0.5925478993856484,0.715129584455388,0.9999999999999997,0.3223918179049807,0.5277187337344981,-0.10256369378101925,-0.25183014183207364
E1b1b,-0.3826423672177073,0.2110363202391395,-0.2433632325793646,-0.2664889630011255,-0.21948536347594014,0.23631450522829925,0.6073270660750312,0.32239181790498056,1.0000000000000007,0.38681077168869504,-0.14182118671103208,-0.32730850982122844
T,-0.27674388212775336,-0.09009847057636021,-0.16466749783483453,-0.23202763832304446,-0.09010123793110172,0.526995213381134,0.640458208678294,0.5277187337344981,0.38681077168869504,1.000000000000001,-0.11892601222795146,-0.18076793389711168
Q,0.15503542415415564,-0.06202412846499088,0.035119017587687096,-0.018727867320526996,-0.0754726294981208,-0.1439671076406908,-0.1095043338943712,-0.10256369378101925,-0.14182118671103208,-0.11892601222795146,1.000000000000003,-0.05145750073854634
N,0.07191913901728102,-0.16376661612908483,-0.2917216359725218,0.39833419525990155,-0.40418883381635967,-0.38496693961530754,-0.30100404790608143,-0.25183014183207364,-0.32730850982122844,-0.18076793389711165,-0.05145750073854633,0.9999999999999993
